quarter,total_deposits,ccby_deposits,ccbync_deposits,ccbyncsa_deposits,plos
Q106,351143,1994,3950,11,326
Q206,353368,3476,1507,23,444
Q306,375915,2574,1719,10,422
Q406,391762,3323,2147,12,610
Q107,375876,2544,1708,7,613
Q207,389341,3692,330,16,668
Q307,382571,3692,3786,10,730
Q407,346079,4402,2408,5,879
Q108,388827,4219,2235,4,922
Q208,424852,5204,2033,15,1045
Q308,417185,5140,1998,8,1196
Q408,409786,6967,1996,3,1263
Q109,489371,6272,2095,4087,1486
Q209,438517,6330,1752,717,1581
Q110,464284,8851,4952,906,1904
Q210,558523,17314,2631,1084,2062
Q310,826951,10639,2194,1269,2393
Q410,503453,11666,1991,1599,2885
Q111,491070,12798,2499,860,3400
Q211,536356,15029,3697,1628,3930
Q311,524286,16709,2507,1694,4538
Q411,603445,18022,2663,1453,4787
Q112,610444,19926,6633,1721,5581
Q212,565906,21144,2793,1343,6628
